id,employee_id,product_id,amount,sale_date,region,channel,status
60,22,4,2460.50,2024-03-28,Southwest,Partner,completed
61,36,6,1110.25,2024-04-01,South,Online,completed
62,47,3,1820.00,2024-04-02,South,Direct,refunded
63,8,1,3080.75,2024-04-03,Midwest,Online,completed
64,9,9,720.00,2024-04-04,South,Direct,completed
65,10,7,2230.50,2024-04-05,South,Online,completed
66,21,5,1610.25,2024-04-08,Southwest,Direct,completed
67,22,8,1040.00,2024-04-09,Southwest,Online,completed
68,36,2,2380.75,2024-04-10,South,Partner,completed
69,47,4,3420.00,2024-04-11,South,Direct,completed
70,8,6,1190.50,2024-04-12,Midwest,Online,completed
71,9,3,1550.25,2024-04-15,South,Direct,completed
72,10,1,4650.00,2024-04-16,South,Partner,completed
73,21,9,690.75,2024-04-17,Southwest,Online,completed
74,22,7,2150.00,2024-04-18,Southwest,Direct,completed
75,36,5,1760.50,2024-04-19,South,Online,completed
76,47,2,810.25,2024-04-22,South,Direct,completed
77,8,8,1380.00,2024-04-23,Midwest,Online,pending
78,9,4,2890.75,2024-04-24,South,Partner,completed
79,10,6,1070.00,2024-04-25,South,Direct,completed
80,21,3,1920.50,2024-04-26,Southwest,Online,completed
81,22,1,3750.25,2024-04-29,Southwest,Online,completed
82,36,9,640.00,2024-04-30,South,Direct,completed
83,47,7,2020.75,2024-05-01,South,Online,completed
84,8,5,1530.00,2024-05-02,Midwest,Partner,completed
85,9,2,950.50,2024-05-03,South,Direct,completed
86,10,4,2670.25,2024-05-06,South,Online,completed
87,21,8,1120.00,2024-05-07,Southwest,Direct,refunded
88,22,6,1840.75,2024-05-08,Southwest,Online,completed
89,36,3,1290.00,2024-05-09,South,Direct,completed
90,47,1,4100.50,2024-05-10,South,Partner,completed
91,8,9,750.25,2024-05-13,Midwest,Online,completed
92,9,7,2310.00,2024-05-14,South,Direct,completed
93,10,5,1680.75,2024-05-15,South,Online,completed
94,21,2,870.00,2024-05-16,Southwest,Direct,completed
95,22,4,3200.50,2024-05-17,Southwest,Partner,completed
96,36,6,1150.25,2024-05-20,South,Online,completed
97,47,8,1060.00,2024-05-21,South,Direct,completed
98,8,3,1780.75,2024-05-22,Midwest,Online,completed
99,9,1,3950.00,2024-05-23,South,Partner,completed
100,10,9,680.50,2024-05-24,South,Direct,completed
101,21,7,2260.25,2024-06-03,Southwest,Online,completed
102,22,5,1490.00,2024-06-04,Southwest,Direct,completed
103,36,2,910.75,2024-06-05,South,Online,completed
104,47,4,3480.00,2024-06-06,South,Partner,completed
105,8,6,1230.50,2024-06-07,Midwest,Direct,completed
106,9,3,1620.25,2024-06-10,South,Online,completed
107,10,1,4250.00,2024-06-11,South,Direct,refunded
108,21,9,720.75,2024-06-12,Southwest,Online,completed
109,22,8,1410.00,2024-06-13,Southwest,Direct,completed
110,36,7,2090.50,2024-06-14,South,Online,completed
111,47,5,1570.25,2024-06-17,South,Partner,completed
112,8,2,860.00,2024-06-18,Midwest,Direct,completed
113,9,4,2940.75,2024-06-19,South,Online,completed
114,10,6,1100.00,2024-06-20,South,Direct,completed
115,21,3,1850.50,2024-06-21,Southwest,Online,pending
116,22,1,3820.25,2024-06-24,Southwest,Partner,completed
117,36,9,670.00,2024-06-25,South,Direct,completed
118,47,7,2180.75,2024-06-26,South,Online,completed
119,8,5,1560.00,2024-06-27,Midwest,Direct,completed
120,9,2,930.50,2024-06-28,South,Online,completed
